A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/4.html.
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/4.html applies to these and all data available from the Mission China air quality monitoring program.

Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shanghai,PM2.5,2013-01-09 07:00,2013,1,9,7,72,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-09 08:00,2013,1,9,8,112,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-09 09:00,2013,1,9,9,-999,µg/m³,1 Hr,Missing
Shanghai,PM2.5,2013-01-09 10:00,2013,1,9,10,146,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-09 11:00,2013,1,9,11,153,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-09 12:00,2013,1,9,12,154,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-09 13:00,2013,1,9,13,153,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-09 14:00,2013,1,9,14,145,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-09 15:00,2013,1,9,15,132,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-09 16:00,2013,1,9,16,120,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-09 17:00,2013,1,9,17,118,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-09 18:00,2013,1,9,18,130,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-09 19:00,2013,1,9,19,109,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-09 20:00,2013,1,9,20,104,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-09 21:00,2013,1,9,21,90,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-09 22:00,2013,1,9,22,78,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-09 23:00,2013,1,9,23,70,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-10 00:00,2013,1,10,0,50,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-10 01:00,2013,1,10,1,57,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-10 02:00,2013,1,10,2,57,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-10 03:00,2013,1,10,3,54,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-10 04:00,2013,1,10,4,53,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-10 05:00,2013,1,10,5,65,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-10 06:00,2013,1,10,6,62,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-10 07:00,2013,1,10,7,48,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-10 08:00,2013,1,10,8,40,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-10 09:00,2013,1,10,9,45,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-10 10:00,2013,1,10,10,44,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-10 11:00,2013,1,10,11,48,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-10 12:00,2013,1,10,12,45,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-10 13:00,2013,1,10,13,56,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-10 14:00,2013,1,10,14,54,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-10 15:00,2013,1,10,15,74,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-10 16:00,2013,1,10,16,78,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-10 17:00,2013,1,10,17,82,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-10 18:00,2013,1,10,18,95,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-10 19:00,2013,1,10,19,76,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-10 20:00,2013,1,10,20,66,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-10 21:00,2013,1,10,21,54,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-10 22:00,2013,1,10,22,49,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-10 23:00,2013,1,10,23,42,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-11 00:00,2013,1,11,0,37,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-11 01:00,2013,1,11,1,29,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-11 02:00,2013,1,11,2,35,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-11 03:00,2013,1,11,3,31,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-11 04:00,2013,1,11,4,37,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-11 05:00,2013,1,11,5,39,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-11 06:00,2013,1,11,6,47,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-11 07:00,2013,1,11,7,49,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-11 08:00,2013,1,11,8,55,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-11 09:00,2013,1,11,9,55,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-11 10:00,2013,1,11,10,55,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-11 11:00,2013,1,11,11,51,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-11 12:00,2013,1,11,12,46,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-11 13:00,2013,1,11,13,50,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-11 14:00,2013,1,11,14,38,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-11 15:00,2013,1,11,15,35,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-11 16:00,2013,1,11,16,36,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-11 17:00,2013,1,11,17,38,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-11 18:00,2013,1,11,18,43,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-11 19:00,2013,1,11,19,59,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-11 20:00,2013,1,11,20,63,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-11 21:00,2013,1,11,21,68,µg/m³,1 Hr,Valid
